Bacon (pork),240
Chicken Breast,148
Chicken Wings,110
Chicken Thighs,133
Chicken Eggs,155
Duck (no skin),195
Escargots,90
Lamb,122
Liver,119
Sausage (chicken),172
Sausage (turkey),196
Sausage (pork),318
Quail Eggs,158
Turkey (dark meat),184
Tukey (white meat),104
Venison,157
